target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-6	50000	1e-5	0.1	999999992550	0.0355	FALSE	0.9626315789473684	51999999612600
1e-5	50000	1e-5	0.1	999999992550	0.314	FALSE	0.6694736842105262	51999999612600
5e-5	50000	1e-5	0.1	999999992550	0.87	FALSE	0.08421052631578943	51999999612600
1e-4	50000	1e-5	0.1	366424231606	0.958	TRUE	0.008421052631578956	19054060043512
5e-4	50000	1e-5	0.1	29741095770	0.956	TRUE	0.0063157894736842165	1546536980040
0.001	50000	1e-5	0.1	13305889996	0.95	TRUE	0	691906279792
1e-6	100000	1e-5	0.1	999999992550	0.042	FALSE	0.9557894736842105	51999999612600
1e-5	100000	1e-5	0.1	999999992550	0.402	FALSE	0.5768421052631578	51999999612600
5e-5	100000	1e-5	0.1	780469099392	0.958	TRUE	0.008421052631578956	40584393168384
1e-4	100000	1e-5	0.1	210826755012	0.958	TRUE	0.008421052631578956	10962991260624
5e-4	100000	1e-5	0.1	25603654294	0.938	TRUE	0.012631578947368433	1331390023288
0.001	100000	1e-5	0.1	11676552346	0.938	TRUE	0.012631578947368433	607180721992
1e-6	2000	1e-6	0.1	999999992550	0.0025	FALSE	0.9973684210526317	51999999612600
1e-5	2000	1e-6	0.1	999999992550	0.018	FALSE	0.9810526315789474	51999999612600
5e-5	2000	1e-6	0.1	999999992550	0.0965	FALSE	0.8984210526315789	51999999612600
1e-4	2000	1e-6	0.1	999999992550	0.1835	FALSE	0.8068421052631579	51999999612600
5e-4	2000	1e-6	0.1	999999992550	0.6505	FALSE	0.31526315789473686	51999999612600
0.001	2000	1e-6	0.1	999999992550	0.8505	FALSE	0.10473684210526309	51999999612600
1e-6	10000	1e-6	0.1	999999992550	0.005	FALSE	0.9947368421052631	51999999612600
1e-5	10000	1e-6	0.1	999999992550	0.0465	FALSE	0.9510526315789474	51999999612600
5e-5	10000	1e-6	0.1	999999992550	0.21	FALSE	0.7789473684210526	51999999612600
1e-4	10000	1e-6	0.1	999999992550	0.392	FALSE	0.5873684210526315	51999999612600
5e-4	10000	1e-6	0.1	727886195222	0.936	TRUE	0.014736842105263055	37850082151544
0.001	10000	1e-6	0.1	235595792724	0.956	TRUE	0.0063157894736842165	12250981221648
1e-6	50000	1e-6	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-6	0.1	999999992550	0.007	FALSE	0.9926315789473684	51999999612600
5e-5	50000	1e-6	0.1	999999992550	0.153	FALSE	0.8389473684210526	51999999612600
1e-4	50000	1e-6	0.1	999999992550	0.524	FALSE	0.4484210526315789	51999999612600
5e-4	50000	1e-6	0.1	305378600451	0.938	TRUE	0.012631578947368433	15879687223452
0.001	50000	1e-6	0.1	134781063804	0.964	TRUE	0.014736842105263171	7008615317808
1e-6	100000	1e-6	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-6	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-6	0.1	999999992550	0.09	FALSE	0.9052631578947369	51999999612600
1e-4	100000	1e-6	0.1	999999992550	0.544	FALSE	0.4273684210526315	51999999612600
5e-4	100000	1e-6	0.1	252929076572	0.928	TRUE	0.02315789473684201	13152311981744
0.001	100000	1e-6	0.1	121180401589	0.93	TRUE	0.02105263157894727	6301380882628
1e-6	2000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	2000	1e-7	0.1	999999992550	0.0045	FALSE	0.9952631578947368	51999999612600
5e-5	2000	1e-7	0.1	999999992550	0.018	FALSE	0.9810526315789474	51999999612600
1e-4	2000	1e-7	0.1	999999992550	0.0315	FALSE	0.966842105263158	51999999612600
5e-4	2000	1e-7	0.1	999999992550	0.225	FALSE	0.7631578947368421	51999999612600
0.001	2000	1e-7	0.1	999999992550	0.4465	FALSE	0.5299999999999999	51999999612600
1e-6	10000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	10000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	10000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	10000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	10000	1e-7	0.1	999999992550	0.098	FALSE	0.8968421052631579	51999999612600
0.001	10000	1e-7	0.1	999999992550	0.561	FALSE	0.4094736842105262	51999999612600
1e-6	50000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	50000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	50000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	50000	1e-7	0.1	999999992550	0.003	FALSE	0.9968421052631579	51999999612600
0.001	50000	1e-7	0.1	999999992550	0.67	FALSE	0.2947368421052631	51999999612600
1e-6	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	100000	1e-7	0.1	999999992550	0.001	FALSE	0.9989473684210526	51999999612600
0.001	100000	1e-7	0.1	999999992550	0.708	FALSE	0.25473684210526315	51999999612600
1e-6	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
0.001	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-6	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
