target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-6	50000	1e-5	0.1	999999992550	0.0235	FALSE	0.9752631578947368	51999999612600
1e-5	50000	1e-5	0.1	999999992550	0.3005	FALSE	0.6836842105263158	51999999612600
5e-5	50000	1e-5	0.1	999999992550	0.882	FALSE	0.071578947368421	51999999612600
1e-4	50000	1e-5	0.1	439471257868	0.964	TRUE	0.014736842105263171	22852505409136
5e-4	50000	1e-5	0.1	30628415206	0.95	TRUE	0	1592677590712
0.001	50000	1e-5	0.1	12795927562	0.944	TRUE	0.0063157894736842165	665388233224
1e-6	100000	1e-5	0.1	999999992550	0.031	FALSE	0.9673684210526315	51999999612600
1e-5	100000	1e-5	0.1	999999992550	0.3895	FALSE	0.5900000000000001	51999999612600
5e-5	100000	1e-5	0.1	808625156112	0.94	TRUE	0.010526315789473694	42048508117824
1e-4	100000	1e-5	0.1	208941877348	0.938	TRUE	0.012631578947368433	10864977622096
5e-4	100000	1e-5	0.1	25634633807	0.93	TRUE	0.02105263157894727	1333000957964
0.001	100000	1e-5	0.1	12056144522	0.948	TRUE	0.002105263157894739	626919515144
1e-6	2000	1e-6	0.1	999999992550	0.001	FALSE	0.9989473684210526	51999999612600
1e-5	2000	1e-6	0.1	999999992550	0.0165	FALSE	0.9826315789473684	51999999612600
5e-5	2000	1e-6	0.1	999999992550	0.0955	FALSE	0.8994736842105263	51999999612600
1e-4	2000	1e-6	0.1	999999992550	0.1745	FALSE	0.8163157894736842	51999999612600
5e-4	2000	1e-6	0.1	999999992550	0.626	FALSE	0.34105263157894733	51999999612600
0.001	2000	1e-6	0.1	999999992550	0.863	FALSE	0.09157894736842102	51999999612600
1e-6	10000	1e-6	0.1	999999992550	0.0025	FALSE	0.9973684210526317	51999999612600
1e-5	10000	1e-6	0.1	999999992550	0.0445	FALSE	0.9531578947368421	51999999612600
5e-5	10000	1e-6	0.1	999999992550	0.209	FALSE	0.78	51999999612600
1e-4	10000	1e-6	0.1	999999992550	0.415	FALSE	0.5631578947368421	51999999612600
5e-4	10000	1e-6	0.1	799169624370	0.93	TRUE	0.02105263157894727	41556820467240
0.001	10000	1e-6	0.1	220724121078	0.954	TRUE	0.004210526315789478	11477654296056
1e-6	50000	1e-6	0.1	999999992550	5e-4	FALSE	0.9994736842105264	51999999612600
1e-5	50000	1e-6	0.1	999999992550	0.007	FALSE	0.9926315789473684	51999999612600
5e-5	50000	1e-6	0.1	999999992550	0.138	FALSE	0.8547368421052631	51999999612600
1e-4	50000	1e-6	0.1	999999992550	0.496	FALSE	0.47789473684210526	51999999612600
5e-4	50000	1e-6	0.1	304271757110	0.96	TRUE	0.010526315789473694	15822131369720
0.001	50000	1e-6	0.1	126463891360	0.94	TRUE	0.010526315789473694	6576122350720
1e-6	100000	1e-6	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-6	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-6	0.1	999999992550	0.0855	FALSE	0.9099999999999999	51999999612600
1e-4	100000	1e-6	0.1	999999992550	0.5615	FALSE	0.4089473684210526	51999999612600
5e-4	100000	1e-6	0.1	266052335390	0.948	TRUE	0.002105263157894739	13834721440280
0.001	100000	1e-6	0.1	121597485088	0.958	TRUE	0.008421052631578956	6323069224576
1e-6	2000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	2000	1e-7	0.1	999999992550	0.001	FALSE	0.9989473684210526	51999999612600
5e-5	2000	1e-7	0.1	999999992550	0.017	FALSE	0.9821052631578947	51999999612600
1e-4	2000	1e-7	0.1	999999992550	0.029	FALSE	0.9694736842105263	51999999612600
5e-4	2000	1e-7	0.1	999999992550	0.2125	FALSE	0.7763157894736842	51999999612600
0.001	2000	1e-7	0.1	999999992550	0.467	FALSE	0.5084210526315789	51999999612600
1e-6	10000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	10000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	10000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	10000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	10000	1e-7	0.1	999999992550	0.09	FALSE	0.9052631578947369	51999999612600
0.001	10000	1e-7	0.1	999999992550	0.549	FALSE	0.42210526315789465	51999999612600
1e-6	50000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	50000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	50000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	50000	1e-7	0.1	999999992550	0.004	FALSE	0.9957894736842106	51999999612600
0.001	50000	1e-7	0.1	999999992550	0.6645	FALSE	0.3005263157894737	51999999612600
1e-6	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	100000	1e-7	0.1	999999992550	0	FALSE	1	51999999612600
0.001	100000	1e-7	0.1	999999992550	0.719	FALSE	0.2431578947368421	51999999612600
1e-6	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
0.001	2000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-6	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
0.001	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-6	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
0.001	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-6	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
0.001	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-6	2000	1.2600000000000001e-5	0.1	999999992550	0.0015	FALSE	0.998421052631579	51999999612600
1e-5	2000	1.2600000000000001e-5	0.1	999999992550	0.0215	FALSE	0.9773684210526317	51999999612600
5e-5	2000	1.2600000000000001e-5	0.1	999999992550	0.1035	FALSE	0.8910526315789473	51999999612600
1e-4	2000	1.2600000000000001e-5	0.1	999999992550	0.191	FALSE	0.7989473684210525	51999999612600
5e-4	2000	1.2600000000000001e-5	0.1	999999992550	0.6645	FALSE	0.3005263157894737	51999999612600
0.001	2000	1.2600000000000001e-5	0.1	999999992550	0.8895	FALSE	0.06368421052631579	51999999612600
1e-6	10000	1.2600000000000001e-5	0.1	999999992550	0.008	FALSE	0.991578947368421	51999999612600
1e-5	10000	1.2600000000000001e-5	0.1	999999992550	0.103	FALSE	0.891578947368421	51999999612600
5e-5	10000	1.2600000000000001e-5	0.1	999999992550	0.3815	FALSE	0.598421052631579	51999999612600
1e-4	10000	1.2600000000000001e-5	0.1	999999992550	0.643	FALSE	0.32315789473684203	51999999612600
5e-4	10000	1.2600000000000001e-5	0.1	60773553404	0.941	TRUE	0.009473684210526325	3160224777008
0.001	10000	1.2600000000000001e-5	0.1	18304856998	0.956	TRUE	0.0063157894736842165	951852563896
1e-6	50000	1.2600000000000001e-5	0.1	999999992550	0.0295	FALSE	0.9689473684210527	51999999612600
1e-5	50000	1.2600000000000001e-5	0.1	999999992550	0.337	FALSE	0.6452631578947369	51999999612600
5e-5	50000	1.2600000000000001e-5	0.1	999999992550	0.8815	FALSE	0.07210526315789474	51999999612600
1e-4	50000	1.2600000000000001e-5	0.1	361379652151	0.962	TRUE	0.012631578947368433	18791741911852
5e-4	50000	1.2600000000000001e-5	0.1	23815604376	0.95	TRUE	0	1238411427552
0.001	50000	1.2600000000000001e-5	0.1	10320889414	0.9505	TRUE	5.263157894737432e-4	536686249528
1e-6	100000	1.2600000000000001e-5	0.1	999999992550	0.043	FALSE	0.9547368421052631	51999999612600
1e-5	100000	1.2600000000000001e-5	0.1	999999992550	0.4475	FALSE	0.5289473684210526	51999999612600
5e-5	100000	1.2600000000000001e-5	0.1	781250039440	0.954	TRUE	0.004210526315789478	40625002050880
1e-4	100000	1.2600000000000001e-5	0.1	171428025604	0.964	TRUE	0.014736842105263171	8914257331408
5e-4	100000	1.2600000000000001e-5	0.1	21484392236	0.956	TRUE	0.0063157894736842165	1117188396272
0.001	100000	1.2600000000000001e-5	0.1	9398284030	0.96	TRUE	0.010526315789473694	488710769560
1e-6	2000	0.001	0.2	999999992550	5e-4	FALSE	0.9994736842105264	51999999612600
